
---------------------------------第1页------------------------------

------------------------------该页有22条微博-----------------------------
{'nickname': '有爱的紫的花', 'txt': '\n疫情之下这个处罚太轻了                ', 'date': '02月15日22:16', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '234', 'comment_count': '1445', 'like_count': '7050'}
{'nickname': '不是腿毛是大叔乛o乛', 'txt': '\n                    //@尸姐://@五行属二: 不要踢皮球了，求求//@江南大野花://@在吗借我一个亿呀://@一只炸宝://@東西南北發胡: 帮！真难受//@史里芬Schlieffen:帮转//@HHH韩夏:河北老乡，本人是一线医生，妈妈其他重症，现在因为疫情无法得到救治。这样的情况怎么办？？                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'i杨明', 'txt': '\n#齐齐哈尔肺炎疫情##齐齐哈尔建华区委书记被免职# 2齐齐哈尔 O网页链接 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone', 'favorate_count': 0, 'forward_count': '1', 'comment_count': 0, 'like_count': '1'}
{'nickname': '叶子ZyE-', 'txt': '\n#战疫打卡行动#我已打卡2天，面对疫情我承诺：有疑似症，及时隔离及时就医！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'lllllllllllgirl', 'txt': '\n                    我今天还想说，除了一线的天使们，还有环卫工人快递小哥外卖小哥社区物业等等所有为疫情努力的人                ', 'date': '02月15日22:49', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '2332', 'comment_count': '1224', 'like_count': '14450'}
{'nickname': '相柳言蹊卿卿酒酒', 'txt': '\n疫情无情，人间有情。平安是福，少出门，戴口罩，勤洗手，且行且珍惜！一年又一年，庚子鼠年，希望大家都能身体健康，平平安安，永葆青春，无畏风雨新的一年，转发祝福！                ', 'date': '02月15日14:53', 'device': 'iPhone 11', 'favorate_count': 0, 'forward_count': '182', 'comment_count': '152', 'like_count': '41'}
{'nickname': 'Chris_彤', 'txt': '\n                    我发4🙋🏻\u200d♀️，这是疫情结束前，最后一次外卖！（太想吃炸鸡了）（天天看韩剧的后遗症） \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': 'idowhaticando', 'txt': '\n                    转发微博                ', 'date': '02月15日09:30', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '535', 'comment_count': '273', 'like_count': '1268'}
{'nickname': '秋秋恋颖1', 'txt': '\n                    V//@秋秋qiu011026:#赵丽颖正能量# 二组一起加油2.16//@赵丽颖:守望相助，希望能帮助到需要帮助的人，大家一起抗击疫情！                ', 'date': '02月05日15:37', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '13865694', 'comment_count': '23752', 'like_count': '191383'}
{'nickname': '坤味小橘', 'txt': '\n#战疫打卡行动#我已打卡5天，面对疫情我承诺：特殊时期不吃生食！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': '大发萌·', 'txt': '\n#战疫打卡行动#我已打卡5天，面对疫情我承诺：听从安排，配合查验！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '立青-Z', 'txt': '\n疫情过了就要去剪头发！ 2济南·商河县 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': '5'}
{'nickname': '人人文学-小兵说事', 'txt': '\n                    众志成城战疫情#环球身边事##沧州身边事##沧州爆料# L人人文学-小兵说事的微博视频 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'OPPO A7x', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': 'HR李小船', 'txt': '\n#船说职场##萧亚轩黄皓情人节大片# 刚才在水木看到一个帖子，发帖人是个全职妈妈。内容大概是疫情严重，老公年前失业，现在全家没有收入来源，一家五口（两个老人两个大人一个小孩）坐吃山空，压力山大。一个孩子，三个人围着转？这样养孩子，真的好吗？五口人就指着一个人赚钱养家，赚钱的人压力 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': '360安全浏览器', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '4', 'like_count': '1'}
{'nickname': '王政北', 'txt': '\n                    希望疫情早日过去 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'OPPO R9s Plus', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '我是不知火舞妹妹不知好歹L', 'txt': '\n                    听说苏州会下雨，但是想想当前正值疫情防控关键阶段，有那么一群人，他们冒着风雪严寒依然坚守在抗“疫”一线，希望不要下雪，雪停后可能出现积雪，导致道路出现道路结冰现象会给交通带来不便 2苏州 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': '1'}
{'nickname': '蒲公英的优格', 'txt': '\n#战疫打卡行动#我已打卡5天，面对疫情我承诺：战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '楚墨秦风', 'txt': '\n#战疫打卡行动#我已打卡6天，面对疫情我承诺：相信科学，相信祖国！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '楚墨秦风', 'txt': '\n#战疫打卡行动#我已打卡6天，面对疫情我承诺：相信科学，相信祖国！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '楚墨秦风', 'txt': '\n#战疫打卡行动#我已打卡6天，面对疫情我承诺：相信科学，相信祖国！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '楚墨秦风', 'txt': '\n#战疫打卡行动#我已打卡6天，面对疫情我承诺：相信科学，相信祖国！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}

---------------------------------第8页------------------------------

------------------------------该页有22条微博-----------------------------
{'nickname': '李现可爱站', 'txt': '\n#李现代言康师傅茉莉品牌# lx#李现的ing#     To：mr.lixian        硬汉形象深入我心十分撩人 疫情值班时的雪写下你的名字        希望以后的每一天，你依旧是你✨        期待古董，赤狐，恋曲还有小龙 @李现ing \u200b                ', 'date': '\n02月15日22:59\n', 'device': '李现超话', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': '3'}
{'nickname': '淏翔大宝贝', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：口罩用后，妥善处理！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': 'O泡果奶oov', 'txt': '\n#战疫打卡行动#我已打卡5天，面对疫情我承诺：口罩用后，妥善处理！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '温青霞Helen', 'txt': '\n疫情后第一个要见的是我的牙医有跟我一样的吗？ \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '3', 'like_count': '1'}
{'nickname': '海天的梦', 'txt': '\n                    宅家二十天，为抗击疫情，坚决不出门，刚好弥补繁忙工作无法顾家的遗憾。希望早日战胜疫情，恢复正常的生活 2长春 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '3', 'like_count': '9'}
{'nickname': '此微博昵称不能修改', 'txt': '\n                    转发微博                ', 'date': '02月15日09:30', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '535', 'comment_count': '273', 'like_count': '1268'}
{'nickname': '20120511iu', 'txt': '\n#疫情后最想做的事#理个发 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'OPPO智能手机', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': 0}
{'nickname': 'HalloTeufel', 'txt': '\n                    转发微博                ', 'date': '02月15日22:50', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '15225', 'comment_count': '4697', 'like_count': '193578'}
{'nickname': '追梦少年丶2021', 'txt': '\n#战疫打卡行动#我已打卡4天，面对疫情我承诺：出门戴口罩！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#\xa0 让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '小傻雪QAQ', 'txt': '\n#战疫打卡行动#我已打卡3天，面对疫情我承诺：不造谣，不信谣，不传谣！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'miss米星人', 'txt': '\n                    求助//@五行属二:不要踢皮球了，求求//@江南大野花://@在吗借我一个亿呀://@一只炸宝://@東西南北發胡: 帮！真难受//@史里芬Schlieffen:帮转//@HHH韩夏:河北老乡，本人是一线医生，妈妈其他重症，现在因为疫情无法得到救治。这样的情况怎么办？？                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '活在summer里的蚊子', 'txt': '\n                    嗯，身后这面白墙，是我录课时的伙伴也是我的依靠，更是疫情期间我依然努力工作的见证 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '2'}
{'nickname': '曼彻斯特看个球', 'txt': '\n                    //@洞庭府君://@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '夏天出门吹吹风', 'txt': '\n                    我看到很多求助者的微博，在疫情到来之前，他们发的关于生活的点点滴滴，有吐槽也有快乐，但也就隔了几天或者几个月，生活就因为病毒全是痛苦和绝望。时代的一粒灰尘，落在个人头上，就成了一座山。 \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博国际版', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '卡阔一呐小圆子', 'txt': '\n#我的疫情日记# 20200215 武汉又要进一步封小区了，禁止出楼栋。不知道前线啥情况，能不能控制的住。大后方已经复工，只能期待武汉保卫战早日胜利。什么时候能解封呢？ \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'HUAWEI Mate 20 Pro', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': '3'}
{'nickname': '呆桃仙子', 'txt': '\n                    //@尸姐: //@五行属二: 不要踢皮球了，求求//@江南大野花://@在吗借我一个亿呀://@一只炸宝://@東西南北發胡: 帮！真难受//@史里芬Schlieffen:帮转//@HHH韩夏:河北老乡，本人是一线医生，妈妈其他重症，现在因为疫情无法得到救治。这样的情况怎么办？？                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'Zsd独一无二', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：积极防疫，理性应对！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'Riana_梅子', 'txt': '\n                    上图2019年8月13日（近60公斤） VS 下图今日（49.3公斤）       最近3个多月体重完全没变，最近几乎没去健身房（一周去2次的样子，东京疫情再扩散的话，在平息之前就不会再去了）元旦长假开始晚上就再也没忌口少吃，几乎每晚吃撑，并且因为元旦长假回国开始没运动，假期结束回日本后也懒惰起来了， \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '5', 'like_count': '3'}
{'nickname': '用户7366667598', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：应对疫情，不轻意不大意！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '用户7366667598', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：应对疫情，不轻意不大意！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '用户7366667598', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：应对疫情，不轻意不大意！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '用户7366667598', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：应对疫情，不轻意不大意！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}

---------------------------------第9页------------------------------

------------------------------该页有22条微博-----------------------------
{'nickname': '临兵斗者皆阵列在前嚯嚯嚯', 'txt': '\n                    //@尸姐://@五行属二: 不要踢皮球了，求求//@江南大野花://@在吗借我一个亿呀://@一只炸宝://@東西南北發胡: 帮！真难受//@史里芬Schlieffen:帮转//@HHH韩夏:河北老乡，本人是一线医生，妈妈其他重症，现在因为疫情无法得到救治。这样的情况怎么办？？                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '秋秋恋颖1', 'txt': '\n                    C//@秋秋qiu011026:#赵丽颖正能量# 二组一起加油2.16//@赵丽颖:守望相助，希望能帮助到需要帮助的人，大家一起抗击疫情！                ', 'date': '02月05日15:37', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '13865695', 'comment_count': '23752', 'like_count': '191383'}
{'nickname': '执染七', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：保持理智，不恐慌！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': 'lv吕吕vl', 'txt': '\n#战疫打卡行动#我已打卡2天，面对疫情我承诺：多消毒，常通风！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '小云朵呐', 'txt': '\n                    //@小虫甲://@l鱼苗I://@樱桃大丸子ykq://@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '爱喵的肉垫君', 'txt': '\n                    //@盖儿盖儿的微博:这种稳定的心态和舍己为人的精神是我们战胜疫情的最大保障！                ', 'date': '02月15日18:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': '9941', 'comment_count': '1397', 'like_count': '41517'}
{'nickname': 'KeeWi_', 'txt': '\n                    今天是2020年2月15日晚上22点40分 外面在下雨 现在听的歌是 黑洞Metroplis 喜欢“厌倦你浪潮涨落般的爱我”这句歌词 大多数时间都在床上度过 今天吃了方便面 两根冰棍 白糖糍粑 没睡午觉 有点刻意的压抑着感触 前几日还会讨论疫情相关 但讨论完只会袭来更大的无力感 大家都开始保持心照不宣的缄默 不再 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '1', 'like_count': 0}
{'nickname': '林州市第二实验小学', 'txt': '\n\ue627安阳校园    疾风知劲草，烈火炼真金。越是关键时刻越能检验初心使命，越是勇毅担当越能看出党性本色。自新型冠状病毒疫情防控工作开展以来，林州市第二实验小学党支部高度重视，党员教师更是以高度的政治觉悟配合社区投身到疫情防控一线，充分发挥基层党组织战斗堡垒作用，为居民群众的生命健 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': '3', 'comment_count': '2', 'like_count': '4'}
{'nickname': '美人鱼-宝宝', 'txt': '\n                    意不意外，竟然下雪了，外面白茫茫的竟然毫无睡意了！希望疫情早点消失，我们早点回归正常日子！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '宁波交通广播FM939', 'txt': '\n                    最新！宁波轨道交通2号线栎社站关闭！公  告尊敬的乘客：         鉴于海曙区石碶街道栎社村疫情防控实际，自2020年2月16日起，暂时关闭宁波轨道交通2号线一期栎社站，给您带来不便，敬请谅解！具体恢复时间另行通知。乘客可通过宁波地铁服务热线0574-83070000咨询。        各位乘客在乘坐地 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': 'HUAWEI Mate 20 Pro', 'favorate_count': 0, 'forward_count': '1', 'comment_count': 0, 'like_count': '1'}
{'nickname': '花开左心房', 'txt': '\n                    抗战疫情前线第十三天睡了懒觉，一觉醒来大雪纷飞，冬天还没有走中午吃了饭开始上班下班，护士长问这儿的工作能不能坚持，不能坚持可以换人，我们都很坚定，表示能坚持，不换人今天有一同事因长时间戴N95口罩，脸上都起了水泡，疼的一夜都没有睡七点下班，晚饭已经凉了，上铺的“兄弟”为我们煮 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '5穆斯林', 'txt': '\n#战疫打卡行动#我已打卡5天，面对疫情我承诺：调整心态，攻克时艰！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '歆歆正在输入', 'txt': '\n\ue627杨紫公益紫#最新疫情地图##科学抗击疫情#2020年中央广播电视总台@中国交通广播 《众志成城 阻击疫情》特别企划全平台上线！#全明星防疫指导手册#正式发布！中国消防公益宣传使者@杨紫 继续为爱热血发声！#共同战疫# L905交通广播的微博视频 \u200b  \u200b\u200b\u200b                ', 'date': '02月15日21:28', 'device': '杨紫超话', 'favorate_count': 0, 'forward_count': '274', 'comment_count': '357', 'like_count': '1114'}
{'nickname': '泡泡爱漂亮', 'txt': '\n#战疫打卡行动#我已打卡4天，面对疫情我承诺：调整心态，攻克时艰！战胜疫情，从我做起！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '前锋520小窝', 'txt': '\n                    【疫情防控 甘肃在行动】甘肃临时关闭的高速公路收费站服务区恢复运营 O【疫情防控 甘肃在行动】甘肃临时关闭的高速公路收费站服务区恢复运营 \u200b                ', 'date': '\n02月15日22:59\n', 'device': '学习强国客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '你我扼手在云飞蝶舞时', 'txt': '\n疫情期间涿州电商平台蝴蝶云响应商务部要求，在涿州商务局指导下为涿州上百个小区推出了果蔬“不接触免费配送”服务新模式。“线上一键下单，线下一天送达”,所有果蔬产品，价格优惠，质量保障，免费配送上门。O网页链接 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'Android客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': '1'}
{'nickname': '亭漂酿吖', 'txt': '\n#战疫打卡行动#我已打卡5天，面对疫情我承诺：每日检测自身体温！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '美月201906', 'txt': '\n#疫情后最想做的事#我想去上班赚钱 \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'iQOO Neo 855版', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '你才二五八', 'txt': '\n                    //@柏彤小窝er://@花菜菜yu://@华晨宇的粉红小内裤://@晨君此诺://@without12://@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '你才二五八', 'txt': '\n                    //@柏彤小窝er://@花菜菜yu://@华晨宇的粉红小内裤://@晨君此诺://@without12://@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '你才二五八', 'txt': '\n                    //@柏彤小窝er://@花菜菜yu://@华晨宇的粉红小内裤://@晨君此诺://@without12://@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '你才二五八', 'txt': '\n                    //@柏彤小窝er://@花菜菜yu://@华晨宇的粉红小内裤://@晨君此诺://@without12://@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
